"state","pred","polls"
"AK",0.148666666666667,TRUE
"AL",0,TRUE
"AR",0.01,FALSE
"AZ",0.897,TRUE
"CA",1,TRUE
"CO",0.998666666666667,TRUE
"CT",0.99,FALSE
"DC",0.99,FALSE
"DE",0.99,FALSE
"FL",0.898666666666667,TRUE
"GA",0.686,TRUE
"HI",1,TRUE
"IA",0.460333333333333,TRUE
"ID",0,TRUE
"IL",0.99,FALSE
"IN",0.00166666666666667,TRUE
"KS",0.02,TRUE
"KY",0,TRUE
"LA",0.0156666666666667,TRUE
"MA",1,TRUE
"MD",1,TRUE
"ME",0.999333333333333,TRUE
"MI",0.974666666666667,TRUE
"MN",0.986333333333333,TRUE
"MO",0.054,TRUE
"MS",0.0426666666666667,TRUE
"MT",0.045,TRUE
"NC",0.776333333333333,TRUE
"ND",0,TRUE
"NE",0.01,FALSE
"NH",0.978666666666667,TRUE
"NJ",1,TRUE
"NM",1,TRUE
"NV",0.969333333333333,TRUE
"NY",0.99,FALSE
"OH",0.44,TRUE
"OK",0,TRUE
"OR",1,TRUE
"PA",0.949333333333333,TRUE
"RI",0.99,FALSE
"SC",0.160666666666667,TRUE
"SD",0.01,FALSE
"TN",0.000333333333333333,TRUE
"TX",0.612333333333333,TRUE
"UT",0.00433333333333333,TRUE
"VA",0.997333333333333,TRUE
"VT",0.99,FALSE
"WA",1,TRUE
"WI",0.966333333333333,TRUE
"WV",0.01,FALSE
"WY",0.01,FALSE
