date,Private accommodation,Halls
20-Sep,5,0
21-Sep,6,5
22-Sep,6,0
23-Sep,24,0
24-Sep,5,5
25-Sep,12,5
26-Sep,45,16
27-Sep,17,8
28-Sep,39,18
29-Sep,37,47
30-Sep,57,139
01-Oct,50,76
02-Oct,31,69
03-Oct,32,56
04-Oct,26,50
05-Oct,48,65
06-Oct,34,54
07-Oct,16,35
08-Oct,25,28
09-Oct,19,28
10-Oct,18,14
11-Oct,28,17
12-Oct,15,18
13-Oct,11,10
14-Oct,11,5
15-Oct,8,5
16-Oct,15,6
17-Oct,11,5
18-Oct,6,5
19-Oct,5,0
20-Oct,11,5
21-Oct,17,5
22-Oct,9,5
23-Oct,6,17
24-Oct,6,0
25-Oct,6,5
26-Oct,6,5
27-Oct,10,5
28-Oct,7,0
29-Oct,15,0
30-Oct,5,5
31-Oct,5,0
01-Nov,6,0
02-Nov,8,5
03-Nov,13,5
04-Nov,6,5
05-Nov,5,0
06-Nov,5,5
07-Nov,5,5
08-Nov,5,5
09-Nov,6,5
10-Nov,5,5
11-Nov,5,5
12-Nov,5,5
13-Nov,5,5
14-Nov,0,5
15-Nov,5,5
16-Nov,5,5
