"date","PHQ","PHQ-9 - 18-29 yr olds","PHQ-9 - all","PHQ-9 - university students (5 Oct onwards)"
"23-Mar","9.008282","9.4","6.9",""
"30-Mar","9.356137","9.5","7",""
"06-Apr","9.433447","10","7",""
"13-Apr","9.545211","9.8","6.9",""
"20-Apr","9.477158","9.3","6.5",""
"27-Apr","9.82461","9.9","7",""
"04-May","9.498423","9.3","6.7",""
"11-May","9.389247","9.5","6.6",""
"18-May","9.378855","9.4","6.5",""
"25-May","8.64218","8.5","6",""
"01-Jun","8.435643","8.6","6.1",""
"08-Jun","8.513089","8.7","6.2",""
"15-Jun","8.233474","8.2","5.9",""
"22-Jun","7.517345","7.8","5.6",""
"29-Jun","7.474441","8","5.7",""
"06-Jul","7.41958","7.5","5.5",""
"13-Jul","7.117647","7.2","5.3",""
"20-Jul","6.846591","7.3","5.2",""
"27-Jul","7.083333","7","5.1",""
"03-Aug","6.757511","7.3","5.1",""
"10-Aug","6.407143","6.9","4.9",""
"17-Aug","6.591591","7.4","5",""
"24-Aug","7.285714","7.2","5.3",""
"31-Aug","7.12844","7.7","5.6",""
"07-Sep","6.497488","7.7","5.5",""
"14-Sep","6.773756","7.8","5.6",""
"21-Sep","7.143791","6.5","5",""
"28-Sep","7.233918","7.7","5.5",""
"05-Oct","6.905063","8","5.8","6.905063"
"12-Oct","7.386207","7.3","5.7",""
"19-Oct","7.417323","7.3","5.6",""
"26-Oct","7.595745","7.6","5.7",""
"02-Nov","7.218978","7.8","5.8",""
"09-Nov","8.057377","7.3","5.7",""
"16-Nov","8.088495","6.8","5.6",""
