date,value
01/01/2020,677
08/01/2020,1117
15/01/2020,2037
22/01/2020,3141
29/01/2020,1684
05/02/2020,3219
12/02/2020,2824
19/02/2020,1894
26/02/2020,5358
04/03/2020,3973
11/03/2020,3203
18/03/2020,3412
25/03/2020,4483
01/04/2020,6021
08/04/2020,3003
15/04/2020,3171
22/04/2020,1745
29/04/2020,1827
06/05/2020,3962
13/05/2020,1380
20/05/2020,1334
27/05/2020,924
03/06/2020,1480
10/06/2020,1766
17/06/2020,1624
24/06/2020,2279
01/07/2020,1789
08/07/2020,1165
15/07/2020,2223
22/07/2020,1590
29/07/2020,2087
05/08/2020,3886
12/08/2020,2353
19/08/2020,2852
26/08/2020,3539
02/09/2020,3772
09/09/2020,1450
16/09/2020,1488
23/09/2020,2078
30/09/2020,1945
07/10/2020,2269
14/10/2020,1827
21/10/2020,1612
28/10/2020,1214
04/11/2020,2768
11/11/2020,2080
18/11/2020,2157
25/11/2020,917
02/12/2020,2585
09/12/2020,2201
16/12/2020,1029
