date,value
01/01/2020,321591
08/01/2020,324301
15/01/2020,315612
22/01/2020,315605
29/01/2020,315598
05/02/2020,319329
12/02/2020,319315
19/02/2020,325396
26/02/2020,325382
04/03/2020,326323
11/03/2020,327906
18/03/2020,357666
25/03/2020,436318
01/04/2020,509228
08/04/2020,576918
15/04/2020,621255
22/04/2020,659309
29/04/2020,665596
06/05/2020,675810
13/05/2020,686628
20/05/2020,711258
27/05/2020,719915
03/06/2020,719393
10/06/2020,725316
17/06/2020,729159
24/06/2020,735883
01/07/2020,732150
08/07/2020,735426
15/07/2020,738129
22/07/2020,745867
29/07/2020,746156
05/08/2020,745463
12/08/2020,754625
19/08/2020,762621
26/08/2020,771901
02/09/2020,766933
09/09/2020,770951
16/09/2020,778237
23/09/2020,787290
30/09/2020,788868
07/10/2020,797112
14/10/2020,797937
21/10/2020,805291
28/10/2020,809323
04/11/2020,812404
11/11/2020,812450
18/11/2020,824797
25/11/2020,826697
