date,rate
03/01/2020,1.88
10/01/2020,1.84
17/01/2020,1.82
24/01/2020,1.75
31/01/2020,1.59
07/02/2020,1.61
14/02/2020,1.59
21/02/2020,1.52
28/02/2020,1.29
06/03/2020,0.96
13/03/2020,0.79
20/03/2020,0.99
27/03/2020,0.81
03/04/2020,0.65
10/04/2020,0.73
17/04/2020,0.68
24/04/2020,0.61
01/05/2020,0.64
08/05/2020,0.67
15/05/2020,0.67
22/05/2020,0.69
29/05/2020,0.68
05/06/2020,0.77
12/06/2020,0.77
19/06/2020,0.72
26/06/2020,0.69
03/07/2020,0.67
10/07/2020,0.66
17/07/2020,0.63
24/07/2020,0.6
31/07/2020,0.58
07/08/2020,0.55
14/08/2020,0.67
21/08/2020,0.67
28/08/2020,0.7
04/09/2020,0.68
11/09/2020,0.69
18/09/2020,0.69
25/09/2020,0.67
02/10/2020,0.68
09/10/2020,0.78
16/10/2020,0.74
23/10/2020,0.83
30/10/2020,0.82
06/11/2020,0.83
13/11/2020,0.93
20/11/2020,0.87
27/11/2020,0.87
04/12/2020,0.92
