state,party,spend,impression,count
Alabama,DEM,675.05,35056.902,249
Alaska,DEM,166.094,8784.688,126
Arizona,DEM,688488.839,34799260.26,2318
Arkansas,DEM,376.27,20848.009,135
California,DEM,10827.879,595804.424,242
Colorado,DEM,220559.521,12519325.173,539
Connecticut,DEM,1155.937,57905.462,156
Delaware,DEM,232.906,12523.563,166
Florida,DEM,1232707.299,68921823.659,2056
Georgia,DEM,447600.977,25018044.878,1922
Hawaii,DEM,339.987,18986.473,130
Idaho,DEM,331.284,18944.47,126
Illinois,DEM,3048.653,169070.015,191
Indiana,DEM,1237.077,70327.307,153
Iowa,DEM,223001.472,11333071.292,1140
Kansas,DEM,550.135,31147.964,133
Kentucky,DEM,852.458,47792.295,147
Louisiana,DEM,538.204,30103.679,144
Maine,DEM,424.754,23355.967,203
Maryland,DEM,1753.791,93768.481,274
Massachusetts,DEM,2325.312,124873.501,210
Michigan,DEM,650641.353,35972854.15,2013
Minnesota,DEM,263148.263,15524944.429,1255
Mississippi,DEM,246.803,12898.44,138
Missouri,DEM,1196.627,67559.605,153
Montana,DEM,233.51,13231.855,110
Nebraska,DEM,133871.787,6630730.099,657
Nevada,DEM,432633.038,21465219.613,1062
New Hampshire,DEM,99338.544,4127941.844,721
New Jersey,DEM,2068.91,109465.572,273
New Mexico,DEM,711.998,39193.959,384
New York,DEM,6593.649,349983.521,237
North Carolina,DEM,862589.522,48780201.085,1837
North Dakota,DEM,111.239,6358.403,109
Ohio,DEM,2341.425,132118.083,207
Oklahoma,DEM,489.541,27618.612,137
Oregon,DEM,1835.533,102960.119,139
Pennsylvania,DEM,1007206.191,55680442.855,2062
Rhode Island,DEM,331.615,18320.599,134
South Carolina,DEM,868.663,46761.671,468
South Dakota,DEM,134.042,7483.224,112
Tennessee,DEM,1144.079,64409.211,161
Texas,DEM,37420.987,3809592.298,400
Utah,DEM,659.902,39779.048,291
Vermont,DEM,366.824,20708.064,255
Virginia,DEM,90069.705,6694119.063,746
Washington,DEM,2615.802,143531.986,164
West Virginia,DEM,285.253,16058.296,128
Wisconsin,DEM,617673.283,31605857.941,1435
Wyoming,DEM,86.606,4774.413,103
Alabama,GOP,0.0,0.0,0
Alaska,GOP,0.0,0.0,0
Arizona,GOP,0.0,0.0,0
Arkansas,GOP,0.0,0.0,0
California,GOP,0.0,0.0,0
Colorado,GOP,0.0,0.0,0
Connecticut,GOP,0.0,0.0,0
Delaware,GOP,0.0,0.0,0
Florida,GOP,0.0,0.0,0
Georgia,GOP,0.0,0.0,0
Hawaii,GOP,0.0,0.0,0
Idaho,GOP,0.0,0.0,0
Illinois,GOP,0.0,0.0,0
Indiana,GOP,0.0,0.0,0
Iowa,GOP,0.0,0.0,0
Kansas,GOP,0.0,0.0,0
Kentucky,GOP,0.0,0.0,0
Louisiana,GOP,0.0,0.0,0
Maine,GOP,0.0,0.0,0
Maryland,GOP,0.0,0.0,0
Massachusetts,GOP,0.0,0.0,0
Michigan,GOP,0.0,0.0,0
Minnesota,GOP,0.0,0.0,0
Mississippi,GOP,0.0,0.0,0
Missouri,GOP,0.0,0.0,0
Montana,GOP,0.0,0.0,0
Nebraska,GOP,0.0,0.0,0
Nevada,GOP,0.0,0.0,0
New Hampshire,GOP,0.0,0.0,0
New Jersey,GOP,0.0,0.0,0
New Mexico,GOP,0.0,0.0,0
New York,GOP,0.0,0.0,0
North Carolina,GOP,0.0,0.0,0
North Dakota,GOP,0.0,0.0,0
Ohio,GOP,0.0,0.0,0
Oklahoma,GOP,0.0,0.0,0
Oregon,GOP,0.0,0.0,0
Pennsylvania,GOP,0.0,0.0,0
Rhode Island,GOP,0.0,0.0,0
South Carolina,GOP,0.0,0.0,0
South Dakota,GOP,0.0,0.0,0
Tennessee,GOP,0.0,0.0,0
Texas,GOP,0.0,0.0,0
Utah,GOP,0.0,0.0,0
Vermont,GOP,0.0,0.0,0
Virginia,GOP,0.0,0.0,0
Washington,GOP,0.0,0.0,0
West Virginia,GOP,0.0,0.0,0
Wisconsin,GOP,0.0,0.0,0
Wyoming,GOP,0.0,0.0,0
