state,party,spend,impression,count
Alabama,DEM,44257.956,2053992.893,10532
Alaska,DEM,17682.13,788045.714,8918
Arizona,DEM,2648010.796,103165124.787,17892
Arkansas,DEM,33298.28,1524209.156,9894
California,DEM,970753.061,42467993.424,12760
Colorado,DEM,405019.157,16772722.992,12333
Connecticut,DEM,92333.457,3931968.309,11005
Delaware,DEM,24768.887,984139.04,9452
Florida,DEM,6616344.427,244814588.706,23289
Georgia,DEM,2107401.892,95006019.092,15735
Hawaii,DEM,27443.67,1198670.588,9557
Idaho,DEM,26412.747,1155897.502,9456
Illinois,DEM,264547.888,11655993.32,12021
Indiana,DEM,100745.643,4515851.958,11289
Iowa,DEM,535341.929,25200437.819,11852
Kansas,DEM,46926.019,2079346.858,10306
Kentucky,DEM,59725.578,2719406.685,10427
Louisiana,DEM,41633.132,1928827.24,10147
Maine,DEM,40187.455,1720688.56,9887
Maryland,DEM,155272.024,6633367.256,11718
Massachusetts,DEM,238212.474,10271996.009,11620
Michigan,DEM,5195447.905,196311798.31,23218
Minnesota,DEM,1143746.95,48787314.515,15424
Mississippi,DEM,18690.712,936530.092,8903
Missouri,DEM,99029.807,4371697.095,11115
Montana,DEM,18294.847,792505.145,8791
Nebraska,DEM,286416.607,9893714.772,10670
Nevada,DEM,1146045.961,43845331.106,13986
New Hampshire,DEM,152418.254,4546956.365,10487
New Jersey,DEM,182045.972,7668821.26,11919
New Mexico,DEM,50938.521,2186583.288,10938
New York,DEM,518186.552,22033519.832,12454
North Carolina,DEM,3148644.484,134009094.833,17042
North Dakota,DEM,12047.638,532340.582,8278
Ohio,DEM,499139.928,25181704.929,12644
Oklahoma,DEM,44127.29,1997196.88,10275
Oregon,DEM,142597.046,6123652.212,11277
Pennsylvania,DEM,7745597.793,247823063.569,25914
Rhode Island,DEM,28937.496,1247608.199,9630
South Carolina,DEM,56707.195,2446375.144,10633
South Dakota,DEM,14144.842,632242.611,8526
Tennessee,DEM,92646.126,4148802.629,11106
Texas,DEM,819773.284,38161684.422,12955
Utah,DEM,47644.793,2143179.247,10576
Vermont,DEM,25843.829,1111413.335,9195
Virginia,DEM,423335.234,17302290.303,12774
Washington,DEM,244595.943,10566761.308,11686
West Virginia,DEM,22546.383,1004024.023,9470
Wisconsin,DEM,3394608.902,110899293.622,21572
Wyoming,DEM,7759.494,332819.279,7596
Alabama,GOP,0.0,0.0,0
Alaska,GOP,0.0,0.0,0
Arizona,GOP,0.0,0.0,0
Arkansas,GOP,0.0,0.0,0
California,GOP,0.0,0.0,0
Colorado,GOP,0.0,0.0,0
Connecticut,GOP,0.0,0.0,0
Delaware,GOP,0.0,0.0,0
Florida,GOP,0.0,0.0,0
Georgia,GOP,0.0,0.0,0
Hawaii,GOP,0.0,0.0,0
Idaho,GOP,0.0,0.0,0
Illinois,GOP,0.0,0.0,0
Indiana,GOP,0.0,0.0,0
Iowa,GOP,0.0,0.0,0
Kansas,GOP,0.0,0.0,0
Kentucky,GOP,0.0,0.0,0
Louisiana,GOP,0.0,0.0,0
Maine,GOP,0.0,0.0,0
Maryland,GOP,0.0,0.0,0
Massachusetts,GOP,0.0,0.0,0
Michigan,GOP,0.0,0.0,0
Minnesota,GOP,0.0,0.0,0
Mississippi,GOP,0.0,0.0,0
Missouri,GOP,0.0,0.0,0
Montana,GOP,0.0,0.0,0
Nebraska,GOP,0.0,0.0,0
Nevada,GOP,0.0,0.0,0
New Hampshire,GOP,0.0,0.0,0
New Jersey,GOP,0.0,0.0,0
New Mexico,GOP,0.0,0.0,0
New York,GOP,0.0,0.0,0
North Carolina,GOP,0.0,0.0,0
North Dakota,GOP,0.0,0.0,0
Ohio,GOP,0.0,0.0,0
Oklahoma,GOP,0.0,0.0,0
Oregon,GOP,0.0,0.0,0
Pennsylvania,GOP,0.0,0.0,0
Rhode Island,GOP,0.0,0.0,0
South Carolina,GOP,0.0,0.0,0
South Dakota,GOP,0.0,0.0,0
Tennessee,GOP,0.0,0.0,0
Texas,GOP,0.0,0.0,0
Utah,GOP,0.0,0.0,0
Vermont,GOP,0.0,0.0,0
Virginia,GOP,0.0,0.0,0
Washington,GOP,0.0,0.0,0
West Virginia,GOP,0.0,0.0,0
Wisconsin,GOP,0.0,0.0,0
Wyoming,GOP,0.0,0.0,0
