state,party,spend,impression,count
Alabama,DEM,0.0,0.0,0
Alaska,DEM,0.0,0.0,0
Arizona,DEM,0.0,0.0,0
Arkansas,DEM,0.0,0.0,0
California,DEM,0.0,0.0,0
Colorado,DEM,0.0,0.0,0
Connecticut,DEM,0.0,0.0,0
Delaware,DEM,0.0,0.0,0
Florida,DEM,0.0,0.0,0
Georgia,DEM,0.0,0.0,0
Hawaii,DEM,0.0,0.0,0
Idaho,DEM,0.0,0.0,0
Illinois,DEM,0.0,0.0,0
Indiana,DEM,0.0,0.0,0
Iowa,DEM,0.0,0.0,0
Kansas,DEM,0.0,0.0,0
Kentucky,DEM,0.0,0.0,0
Louisiana,DEM,0.0,0.0,0
Maine,DEM,0.0,0.0,0
Maryland,DEM,0.0,0.0,0
Massachusetts,DEM,0.0,0.0,0
Michigan,DEM,0.0,0.0,0
Minnesota,DEM,0.0,0.0,0
Mississippi,DEM,0.0,0.0,0
Missouri,DEM,0.0,0.0,0
Montana,DEM,0.0,0.0,0
Nebraska,DEM,0.0,0.0,0
Nevada,DEM,0.0,0.0,0
New Hampshire,DEM,0.0,0.0,0
New Jersey,DEM,0.0,0.0,0
New Mexico,DEM,0.0,0.0,0
New York,DEM,0.0,0.0,0
North Carolina,DEM,0.0,0.0,0
North Dakota,DEM,0.0,0.0,0
Ohio,DEM,0.0,0.0,0
Oklahoma,DEM,0.0,0.0,0
Oregon,DEM,0.0,0.0,0
Pennsylvania,DEM,0.0,0.0,0
Rhode Island,DEM,0.0,0.0,0
South Carolina,DEM,0.0,0.0,0
South Dakota,DEM,0.0,0.0,0
Tennessee,DEM,0.0,0.0,0
Texas,DEM,0.0,0.0,0
Utah,DEM,0.0,0.0,0
Vermont,DEM,0.0,0.0,0
Virginia,DEM,0.0,0.0,0
Washington,DEM,0.0,0.0,0
West Virginia,DEM,0.0,0.0,0
Wisconsin,DEM,0.0,0.0,0
Wyoming,DEM,0.0,0.0,0
Alabama,GOP,16930.733,386568.028,2962
Alaska,GOP,2393.095,56266.491,1695
Arizona,GOP,1819831.429,45117833.34,5825
Arkansas,GOP,7238.287,147122.715,2520
California,GOP,91155.227,2715016.699,3021
Colorado,GOP,61991.385,4047159.941,2614
Connecticut,GOP,6085.662,151239.921,2171
Delaware,GOP,2281.495,59985.758,1618
Florida,GOP,1852224.477,60998610.436,6929
Georgia,GOP,905681.854,28238601.489,6616
Hawaii,GOP,3659.018,81802.691,1415
Idaho,GOP,7405.436,208530.0,1926
Illinois,GOP,26697.055,621814.059,3278
Indiana,GOP,20066.857,410265.729,3235
Iowa,GOP,625943.228,15250351.24,5250
Kansas,GOP,8599.029,197986.911,2482
Kentucky,GOP,13094.444,277267.126,2988
Louisiana,GOP,7460.664,153363.978,2534
Maine,GOP,189179.593,3960997.331,3060
Maryland,GOP,9284.749,234064.813,2440
Massachusetts,GOP,7689.704,185446.36,2490
Michigan,GOP,1318428.779,39011278.25,7158
Minnesota,GOP,199402.747,4815506.472,4109
Mississippi,GOP,8751.888,177043.456,2598
Missouri,GOP,60467.199,937731.865,3381
Montana,GOP,4555.272,131909.555,1663
Nebraska,GOP,5390.059,129994.983,2138
Nevada,GOP,573832.283,6458606.46,7479
New Hampshire,GOP,28423.354,432341.425,2220
New Jersey,GOP,12979.909,362729.898,2390
New Mexico,GOP,4652.03,107291.47,2019
New York,GOP,31651.317,742151.294,3298
North Carolina,GOP,1220210.542,27853136.902,10272
North Dakota,GOP,2816.934,65042.447,2117
Ohio,GOP,1156975.378,25862598.545,10639
Oklahoma,GOP,9082.835,173314.098,2718
Oregon,GOP,5277.507,108719.244,2109
Pennsylvania,GOP,1147185.331,31515850.1,7751
Rhode Island,GOP,1900.157,48894.638,1471
South Carolina,GOP,11899.253,259946.022,2881
South Dakota,GOP,1996.022,41339.984,1776
Tennessee,GOP,15896.26,340646.485,3125
Texas,GOP,549252.547,12602578.874,7026
Utah,GOP,5915.493,138722.224,2007
Vermont,GOP,703.393,15471.497,1195
Virginia,GOP,66276.392,1815411.528,3116
Washington,GOP,7885.323,186370.986,2273
West Virginia,GOP,5775.94,109099.45,2551
Wisconsin,GOP,605084.866,21217562.751,4183
Wyoming,GOP,1728.974,34475.795,1669
