state,party,spend,impression,count
Alabama,DEM,0.0,0.0,0
Alaska,DEM,0.0,0.0,0
Arizona,DEM,0.0,0.0,0
Arkansas,DEM,0.0,0.0,0
California,DEM,0.0,0.0,0
Colorado,DEM,0.0,0.0,0
Connecticut,DEM,0.0,0.0,0
Delaware,DEM,0.0,0.0,0
Florida,DEM,0.0,0.0,0
Georgia,DEM,0.0,0.0,0
Hawaii,DEM,0.0,0.0,0
Idaho,DEM,0.0,0.0,0
Illinois,DEM,0.0,0.0,0
Indiana,DEM,0.0,0.0,0
Iowa,DEM,0.0,0.0,0
Kansas,DEM,0.0,0.0,0
Kentucky,DEM,0.0,0.0,0
Louisiana,DEM,0.0,0.0,0
Maine,DEM,0.0,0.0,0
Maryland,DEM,0.0,0.0,0
Massachusetts,DEM,0.0,0.0,0
Michigan,DEM,0.0,0.0,0
Minnesota,DEM,0.0,0.0,0
Mississippi,DEM,0.0,0.0,0
Missouri,DEM,0.0,0.0,0
Montana,DEM,0.0,0.0,0
Nebraska,DEM,0.0,0.0,0
Nevada,DEM,0.0,0.0,0
New Hampshire,DEM,0.0,0.0,0
New Jersey,DEM,0.0,0.0,0
New Mexico,DEM,0.0,0.0,0
New York,DEM,0.0,0.0,0
North Carolina,DEM,0.0,0.0,0
North Dakota,DEM,0.0,0.0,0
Ohio,DEM,0.0,0.0,0
Oklahoma,DEM,0.0,0.0,0
Oregon,DEM,0.0,0.0,0
Pennsylvania,DEM,0.0,0.0,0
Rhode Island,DEM,0.0,0.0,0
South Carolina,DEM,0.0,0.0,0
South Dakota,DEM,0.0,0.0,0
Tennessee,DEM,0.0,0.0,0
Texas,DEM,0.0,0.0,0
Utah,DEM,0.0,0.0,0
Vermont,DEM,0.0,0.0,0
Virginia,DEM,0.0,0.0,0
Washington,DEM,0.0,0.0,0
West Virginia,DEM,0.0,0.0,0
Wisconsin,DEM,0.0,0.0,0
Wyoming,DEM,0.0,0.0,0
Alabama,GOP,243772.011,9311511.992,19123
Alaska,GOP,39306.197,1570787.64,12166
Arizona,GOP,3583547.572,81830106.381,37943
Arkansas,GOP,113969.6,4447926.519,15764
California,GOP,1070043.653,35228638.429,27406
Colorado,GOP,188980.476,6771274.819,16761
Connecticut,GOP,91063.984,3348588.974,14404
Delaware,GOP,34081.656,1190526.886,12277
Florida,GOP,8102363.134,217157994.096,46057
Georgia,GOP,3301562.162,90118681.175,37537
Hawaii,GOP,30547.775,1054162.449,11355
Idaho,GOP,84222.741,3437408.331,14783
Illinois,GOP,342337.036,12783720.672,19280
Indiana,GOP,253566.676,9828886.763,18733
Iowa,GOP,1749566.703,40962304.695,33335
Kansas,GOP,115818.383,4594854.693,15360
Kentucky,GOP,169660.407,6599529.328,16891
Louisiana,GOP,185311.963,7546273.167,16779
Maine,GOP,564320.647,11128113.635,27071
Maryland,GOP,144555.634,5149964.548,16731
Massachusetts,GOP,158746.676,5111333.506,16095
Michigan,GOP,3542383.783,99297122.792,45054
Minnesota,GOP,481521.132,14983700.519,31145
Mississippi,GOP,118337.446,4619528.399,15912
Missouri,GOP,234255.453,9154727.312,18070
Montana,GOP,51131.89,2021187.454,13155
Nebraska,GOP,282122.481,7470874.569,26802
Nevada,GOP,837615.023,19258443.129,28985
New Hampshire,GOP,60178.058,2036511.045,13280
New Jersey,GOP,248129.004,8731711.377,17386
New Mexico,GOP,72572.641,2531266.463,14205
New York,GOP,480727.851,17189216.18,20664
North Carolina,GOP,4331233.042,105305938.911,43338
North Dakota,GOP,37040.484,1545189.078,12526
Ohio,GOP,2428203.768,76414546.207,43545
Oklahoma,GOP,179867.729,6827036.878,17465
Oregon,GOP,128247.407,4830913.524,15267
Pennsylvania,GOP,4861897.624,127629980.289,40132
Rhode Island,GOP,23266.099,811768.027,11047
South Carolina,GOP,193536.768,7040459.888,18376
South Dakota,GOP,38422.242,1565209.668,12449
Tennessee,GOP,307638.337,11892635.727,19538
Texas,GOP,1100403.677,41003902.842,22032
Utah,GOP,104464.732,4303816.655,14985
Vermont,GOP,11970.143,478643.627,9484
Virginia,GOP,272184.342,10094099.915,19116
Washington,GOP,228390.143,8184266.84,17262
West Virginia,GOP,71036.029,2631393.145,15572
Wisconsin,GOP,3492027.366,79056108.477,41207
Wyoming,GOP,33555.829,1359277.07,12116
