cycle,branch,forecastdate,district,component_no,component_name,component_impact,component_narrative,genre,candidateA,candidateB,shortnmA,shortnmB,timestamp
2020,House,11/3/20,WY-1,8,Scandals,0,Neither candidate is involved in a scandal.,DR,Lynnette Grey Bull,Liz Cheney,Bull,Cheney,00:19:54  3 Nov 2020
2020,House,11/3/20,WY-1,7,Challenger experience,0,Bull has never held elected office.,DR,Lynnette Grey Bull,Liz Cheney,Bull,Cheney,00:19:54  3 Nov 2020
2020,House,11/3/20,WY-1,6,Incumbent's voting record in Congress,.1084874,Cheney has voted with Republicans 80% of the time in roll-call votes in recent sessions of Congress.,DR,Lynnette Grey Bull,Liz Cheney,Bull,Cheney,00:19:54  3 Nov 2020
2020,House,11/3/20,WY-1,5,Fundraising,-16.80195,"As of Oct. 14, Cheney had raised $1,123,000 in individual contributions (92% of all such contributions to the major-party candidates); Bull had raised $103,000 (8%).",DR,Lynnette Grey Bull,Liz Cheney,Bull,Cheney,00:19:54  3 Nov 2020
2020,House,11/3/20,WY-1,4,Generic ballot,3.182114,Democrats lead by an average of 7.3 percentage points in polls of the generic congressional ballot.,DR,Lynnette Grey Bull,Liz Cheney,Bull,Cheney,00:19:54  3 Nov 2020
2020,House,11/3/20,WY-1,3,Incumbent's margin in last election,-8.118175,Cheney won by 33.8 percentage points in 2018.,DR,Lynnette Grey Bull,Liz Cheney,Bull,Cheney,00:19:54  3 Nov 2020
2020,House,11/3/20,WY-1,2,District partisanship,-12.34782,"Wyoming is 44.5 percentage points more Republican-leaning than the country overall, based on how it has voted in recent presidential and state legislative elections. It voted for Trump in 2016 and Romney in 2012. Wyoming has been considerably more Democratic in state legislative elections than in presidential elections.",DR,Lynnette Grey Bull,Liz Cheney,Bull,Cheney,00:19:54  3 Nov 2020
2020,House,11/3/20,WY-1,11,Total,-43.351,"",DR,Lynnette Grey Bull,Liz Cheney,Bull,Cheney,00:19:54  3 Nov 2020
2020,House,11/3/20,WY-1,1,Incumbency,-9.373652,"Cheney has been elected to 2 terms. Congress has only a 21.1% approval rating, reducing the incumbency advantage. The incumbency advantage is larger in states and districts with distinctive demographic patterns. WY-1 has somewhat distinctive demographics, so the incumbency advantage will be about average there.",DR,Lynnette Grey Bull,Liz Cheney,Bull,Cheney,00:19:54  3 Nov 2020
2020,House,11/3/20,WV-3,8,Scandals,0,Neither candidate is involved in a scandal.,DR,Hilary Turner,Carol Miller,Turner,Miller,00:19:54  3 Nov 2020
2020,House,11/3/20,WV-3,7,Challenger experience,0,Turner has never held elected office.,DR,Hilary Turner,Carol Miller,Turner,Miller,00:19:54  3 Nov 2020
2020,House,11/3/20,WV-3,6,Incumbent's voting record in Congress,-.4280356,Miller has voted with Republicans 75% of the time in roll-call votes in recent sessions of Congress.,DR,Hilary Turner,Carol Miller,Turner,Miller,00:19:54  3 Nov 2020
2020,House,11/3/20,WV-3,5,Fundraising,-14.0385,"As of Oct. 14, Miller had raised $342,000 in individual contributions (80% of all such contributions to the major-party candidates); Turner had raised $85,000 (20%).",DR,Hilary Turner,Carol Miller,Turner,Miller,00:19:54  3 Nov 2020
2020,House,11/3/20,WV-3,4,Generic ballot,2.908568,Democrats lead by an average of 7.3 percentage points in polls of the generic congressional ballot.,DR,Hilary Turner,Carol Miller,Turner,Miller,00:19:54  3 Nov 2020
2020,House,11/3/20,WV-3,3,Incumbent's margin in last election,-4.174322,Miller won by 12.7 percentage points in 2018 in an open-seat race.,DR,Hilary Turner,Carol Miller,Turner,Miller,00:19:54  3 Nov 2020
2020,House,11/3/20,WV-3,2,District partisanship,-9.984927,"WV-3 is 40.0 percentage points more Republican-leaning than the country overall, based on how it has voted in recent presidential and state legislative elections. It voted for Trump in 2016 and Romney in 2012. West Virginia has been considerably more Democratic in state legislative elections than in presidential elections.",DR,Hilary Turner,Carol Miller,Turner,Miller,00:19:54  3 Nov 2020
2020,House,11/3/20,WV-3,11,Total,-34.4822,"",DR,Hilary Turner,Carol Miller,Turner,Miller,00:19:54  3 Nov 2020
2020,House,11/3/20,WV-3,1,Incumbency,-8.764985,"Miller has been elected to 1 term. Congress has only a 21.1% approval rating, reducing the incumbency advantage. The incumbency advantage is larger in states and districts with distinctive demographic patterns. WV-3 has highly distinctive demographics, so incumbency will help Miller a lot there.",DR,Hilary Turner,Carol Miller,Turner,Miller,00:19:54  3 Nov 2020
2020,House,11/3/20,WV-2,8,Scandals,0,Neither candidate is involved in a scandal.,DR,Cathy Kunkel,Alex Mooney,Kunkel,Mooney,00:19:54  3 Nov 2020
2020,House,11/3/20,WV-2,7,Challenger experience,0,Kunkel has never held elected office.,DR,Cathy Kunkel,Alex Mooney,Kunkel,Mooney,00:19:54  3 Nov 2020
2020,House,11/3/20,WV-2,6,Incumbent's voting record in Congress,.2448246,Mooney has voted with Republicans 82% of the time in roll-call votes in recent sessions of Congress.,DR,Cathy Kunkel,Alex Mooney,Kunkel,Mooney,00:19:54  3 Nov 2020
2020,House,11/3/20,WV-2,5,Fundraising,-10.05675,"As of Oct. 14, Mooney had raised $1,150,000 in individual contributions (67% of all such contributions to the major-party candidates); Kunkel had raised $558,000 (33%).",DR,Cathy Kunkel,Alex Mooney,Kunkel,Mooney,00:19:54  3 Nov 2020
2020,House,11/3/20,WV-2,4,Generic ballot,2.326917,Democrats lead by an average of 7.3 percentage points in polls of the generic congressional ballot.,DR,Cathy Kunkel,Alex Mooney,Kunkel,Mooney,00:19:54  3 Nov 2020
2020,House,11/3/20,WV-2,3,Incumbent's margin in last election,-2.601081,Mooney won by 11.0 percentage points in 2018.,DR,Cathy Kunkel,Alex Mooney,Kunkel,Mooney,00:19:54  3 Nov 2020
2020,House,11/3/20,WV-2,2,District partisanship,-5.462207,"WV-2 is 28.2 percentage points more Republican-leaning than the country overall, based on how it has voted in recent presidential and state legislative elections. It voted for Trump in 2016 and Romney in 2012. West Virginia has been considerably more Democratic in state legislative elections than in presidential elections.",DR,Cathy Kunkel,Alex Mooney,Kunkel,Mooney,00:19:54  3 Nov 2020
2020,House,11/3/20,WV-2,11,Total,-22.26612,"",DR,Cathy Kunkel,Alex Mooney,Kunkel,Mooney,00:19:54  3 Nov 2020
2020,House,11/3/20,WV-2,1,Incumbency,-6.717827,"Mooney has been elected to 3 terms. Congress has only a 21.1% approval rating, reducing the incumbency advantage. The incumbency advantage is larger in states and districts with distinctive demographic patterns. WV-2 has somewhat distinctive demographics, so the incumbency advantage will be about average there.",DR,Cathy Kunkel,Alex Mooney,Kunkel,Mooney,00:19:54  3 Nov 2020
2020,House,11/3/20,WV-1,8,Scandals,0,Neither candidate is involved in a scandal.,DR,Natalie Cline,David McKinley,Cline,McKinley,00:19:54  3 Nov 2020
2020,House,11/3/20,WV-1,7,Challenger experience,0,Cline has never held elected office.,DR,Natalie Cline,David McKinley,Cline,McKinley,00:19:54  3 Nov 2020
2020,House,11/3/20,WV-1,6,Incumbent's voting record in Congress,-.4400733,McKinley has voted with Republicans 74% of the time in roll-call votes in recent sessions of Congress.,DR,Natalie Cline,David McKinley,Cline,McKinley,00:19:54  3 Nov 2020
2020,House,11/3/20,WV-1,5,Fundraising,-13.45266,"As of Oct. 14, McKinley had raised $278,000 in individual contributions (79% of all such contributions to the major-party candidates); Cline had raised $73,000 (21%).",DR,Natalie Cline,David McKinley,Cline,McKinley,00:19:54  3 Nov 2020
2020,House,11/3/20,WV-1,4,Generic ballot,2.809902,Democrats lead by an average of 7.3 percentage points in polls of the generic congressional ballot.,DR,Natalie Cline,David McKinley,Cline,McKinley,00:19:54  3 Nov 2020
2020,House,11/3/20,WV-1,3,Incumbent's margin in last election,-6.287526,McKinley won by 29.2 percentage points in 2018.,DR,Natalie Cline,David McKinley,Cline,McKinley,00:19:54  3 Nov 2020
2020,House,11/3/20,WV-1,2,District partisanship,-7.850512,"WV-1 is 33.1 percentage points more Republican-leaning than the country overall, based on how it has voted in recent presidential and state legislative elections. It voted for Trump in 2016 and Romney in 2012. West Virginia has been considerably more Democratic in state legislative elections than in presidential elections.",DR,Natalie Cline,David McKinley,Cline,McKinley,00:19:54  3 Nov 2020
2020,House,11/3/20,WV-1,11,Total,-33.29844,"",DR,Natalie Cline,David McKinley,Cline,McKinley,00:19:54  3 Nov 2020
2020,House,11/3/20,WV-1,1,Incumbency,-8.07756,"McKinley has been elected to 5 terms. Congress has only a 21.1% approval rating, reducing the incumbency advantage. The incumbency advantage is larger in states and districts with distinctive demographic patterns. WV-1 has somewhat distinctive demographics, so the incumbency advantage will be about average there.",DR,Natalie Cline,David McKinley,Cline,McKinley,00:19:54  3 Nov 2020
2020,House,11/3/20,WI-8,8,Scandals,0,Neither candidate is involved in a scandal.,DR,Amanda Stuck,Mike Gallagher,Stuck,Gallagher,00:19:54  3 Nov 2020
2020,House,11/3/20,WI-8,7,Challenger experience,1.98518,"Stuck has held elected office before. (So has Gallagher, but this is accounted for in our incumbency calculation.)",DR,Amanda Stuck,Mike Gallagher,Stuck,Gallagher,00:19:54  3 Nov 2020
2020,House,11/3/20,WI-8,6,Incumbent's voting record in Congress,-.4276876,Gallagher has voted with Republicans 74% of the time in roll-call votes in recent sessions of Congress.,DR,Amanda Stuck,Mike Gallagher,Stuck,Gallagher,00:19:54  3 Nov 2020
2020,House,11/3/20,WI-8,5,Fundraising,-12.91015,"As of Oct. 14, Gallagher had raised $2,158,000 in individual contributions (85% of all such contributions to the major-party candidates); Stuck had raised $368,000 (15%).",DR,Amanda Stuck,Mike Gallagher,Stuck,Gallagher,00:19:54  3 Nov 2020
2020,House,11/3/20,WI-8,4,Generic ballot,2.563985,Democrats lead by an average of 7.3 percentage points in polls of the generic congressional ballot.,DR,Amanda Stuck,Mike Gallagher,Stuck,Gallagher,00:19:54  3 Nov 2020
2020,House,11/3/20,WI-8,3,Incumbent's margin in last election,-5.447668,Gallagher won by 27.4 percentage points in 2018.,DR,Amanda Stuck,Mike Gallagher,Stuck,Gallagher,00:19:54  3 Nov 2020
2020,House,11/3/20,WI-8,2,District partisanship,-3.732651,"WI-8 is 17.8 percentage points more Republican-leaning than the country overall, based on how it has voted in recent presidential and state legislative elections. It voted for Trump in 2016 and Romney in 2012. Wisconsin has been considerably more Republican in state legislative elections than in presidential elections.",DR,Amanda Stuck,Mike Gallagher,Stuck,Gallagher,00:19:54  3 Nov 2020
2020,House,11/3/20,WI-8,11,Total,-25.00567,"",DR,Amanda Stuck,Mike Gallagher,Stuck,Gallagher,00:19:54  3 Nov 2020
