cycle,branch,forecastdate,district,candidateA,candidateB,displaystep,description,margin,lite_weight,classic_weight,deluxe_weight,simulations,timestamp
2020,House,11/3/20,WY-1,Lynnette Grey Bull,Liz Cheney,4,Expert ratings adjusted for national environment,-38.8704,0,0,1.239421,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WY-1,Lynnette Grey Bull,Liz Cheney,3,Fundamentals (non-polling factors),-43.35099,0,1.284435,1.284435,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WY-1,Lynnette Grey Bull,Liz Cheney,2,CANTOR (analysis of comparable disticts),-31.04968,.8358126,.1545999,.1545999,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WY-1,Lynnette Grey Bull,Liz Cheney,1,Polls adjusted for house effects & other factors,-30.10048,1.045976,1.045976,1.045976,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WV-3,Hilary Turner,Carol Miller,4,Expert ratings adjusted for national environment,-37.32709,0,0,.7177314,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WV-3,Hilary Turner,Carol Miller,3,Fundamentals (non-polling factors),-34.48219,0,1.284435,1.284435,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WV-3,Hilary Turner,Carol Miller,2,CANTOR (analysis of comparable disticts),-43.48805,.8358126,.1545999,.1545999,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WV-3,Hilary Turner,Carol Miller,1,Polls adjusted for house effects & other factors,,0,0,0,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WV-2,Cathy Kunkel,Alex Mooney,4,Expert ratings adjusted for national environment,-26.15224,0,0,.7177314,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WV-2,Cathy Kunkel,Alex Mooney,3,Fundamentals (non-polling factors),-22.26612,0,1.284435,1.284435,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WV-2,Cathy Kunkel,Alex Mooney,2,CANTOR (analysis of comparable disticts),-29.61459,.8358126,.1545999,.1545999,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WV-2,Cathy Kunkel,Alex Mooney,1,Polls adjusted for house effects & other factors,,0,0,0,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WV-1,Natalie Cline,David McKinley,4,Expert ratings adjusted for national environment,-35.4902,0,0,.7177314,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WV-1,Natalie Cline,David McKinley,3,Fundamentals (non-polling factors),-33.29843,0,1.284435,1.284435,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WV-1,Natalie Cline,David McKinley,2,CANTOR (analysis of comparable disticts),-35.95049,.8358126,.1545999,.1545999,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WV-1,Natalie Cline,David McKinley,1,Polls adjusted for house effects & other factors,,0,0,0,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WI-8,Amanda Stuck,Mike Gallagher,4,Expert ratings adjusted for national environment,-27.07669,0,0,.7177314,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WI-8,Amanda Stuck,Mike Gallagher,3,Fundamentals (non-polling factors),-25.00567,0,1.284435,1.284435,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WI-8,Amanda Stuck,Mike Gallagher,2,CANTOR (analysis of comparable disticts),-18.81462,.8358126,.1545999,.1545999,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WI-8,Amanda Stuck,Mike Gallagher,1,Polls adjusted for house effects & other factors,,0,0,0,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WI-7,Tricia Zunker,Thomas P. Tiffany,4,Expert ratings adjusted for national environment,-24.28172,0,0,.7177314,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WI-7,Tricia Zunker,Thomas P. Tiffany,3,Fundamentals (non-polling factors),-15.55289,0,1.284435,1.284435,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WI-7,Tricia Zunker,Thomas P. Tiffany,2,CANTOR (analysis of comparable disticts),-20.0127,.8358126,.1545999,.1545999,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WI-7,Tricia Zunker,Thomas P. Tiffany,1,Polls adjusted for house effects & other factors,,0,0,0,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WI-6,Jessica J. King,Glenn Grothman,4,Expert ratings adjusted for national environment,-24.12516,0,0,.7177314,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WI-6,Jessica J. King,Glenn Grothman,3,Fundamentals (non-polling factors),-17.79422,0,1.284435,1.284435,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WI-6,Jessica J. King,Glenn Grothman,2,CANTOR (analysis of comparable disticts),-19.58224,.8358126,.1545999,.1545999,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WI-6,Jessica J. King,Glenn Grothman,1,Polls adjusted for house effects & other factors,,0,0,0,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WI-5,Tom Palzewicz,Scott Fitzgerald,4,Expert ratings adjusted for national environment,-24.93376,0,0,.7177314,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WI-5,Tom Palzewicz,Scott Fitzgerald,3,Fundamentals (non-polling factors),-20.90818,0,1.284435,1.284435,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WI-5,Tom Palzewicz,Scott Fitzgerald,2,CANTOR (analysis of comparable disticts),-21.22917,.8358126,.1545999,.1545999,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WI-5,Tom Palzewicz,Scott Fitzgerald,1,Polls adjusted for house effects & other factors,,0,0,0,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WI-4,Gwen Moore,Tim Rogers,4,Expert ratings adjusted for national environment,52.12684,0,0,.7177314,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WI-4,Gwen Moore,Tim Rogers,3,Fundamentals (non-polling factors),51.88705,0,1.284435,1.284435,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WI-4,Gwen Moore,Tim Rogers,2,CANTOR (analysis of comparable disticts),71.18265,.8358126,.1545999,.1545999,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WI-4,Gwen Moore,Tim Rogers,1,Polls adjusted for house effects & other factors,,0,0,0,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WI-3,Ron Kind,Derrick Van Orden,4,Expert ratings adjusted for national environment,12.49424,0,0,.7177314,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WI-3,Ron Kind,Derrick Van Orden,3,Fundamentals (non-polling factors),5.799806,0,1.284435,1.284435,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WI-3,Ron Kind,Derrick Van Orden,2,CANTOR (analysis of comparable disticts),13.57925,.8358126,.1545999,.1545999,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WI-3,Ron Kind,Derrick Van Orden,1,Polls adjusted for house effects & other factors,,0,0,0,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WI-2,Mark Pocan,Peter Theron,4,Expert ratings adjusted for national environment,45.13383,0,0,.7177314,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WI-2,Mark Pocan,Peter Theron,3,Fundamentals (non-polling factors),45.76836,0,1.284435,1.284435,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WI-2,Mark Pocan,Peter Theron,2,CANTOR (analysis of comparable disticts),56.91111,.8358126,.1545999,.1545999,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WI-2,Mark Pocan,Peter Theron,1,Polls adjusted for house effects & other factors,,0,0,0,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WI-1,Roger Polack,Bryan Steil,4,Expert ratings adjusted for national environment,-24.11914,0,0,1.171692,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WI-1,Roger Polack,Bryan Steil,3,Fundamentals (non-polling factors),-21.17394,0,1.284435,1.284435,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WI-1,Roger Polack,Bryan Steil,2,CANTOR (analysis of comparable disticts),-7.925892,.8358126,.1545999,.1545999,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WI-1,Roger Polack,Bryan Steil,1,Polls adjusted for house effects & other factors,-13.33031,.910181,.910181,.910181,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WA-9,Adam Smith,Doug Basler,4,Expert ratings adjusted for national environment,54.97776,0,0,.7177314,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WA-9,Adam Smith,Doug Basler,3,Fundamentals (non-polling factors),55.84959,0,1.342794,1.342794,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WA-9,Adam Smith,Doug Basler,2,CANTOR (analysis of comparable disticts),70.22664,.8358126,.0962403,.0962403,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WA-9,Adam Smith,Doug Basler,1,Polls adjusted for house effects & other factors,,0,0,0,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WA-8,Kim Schrier,Jesse Jensen,4,Expert ratings adjusted for national environment,11.8597,0,0,.7177314,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WA-8,Kim Schrier,Jesse Jensen,3,Fundamentals (non-polling factors),17.40074,0,1.342794,1.342794,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WA-8,Kim Schrier,Jesse Jensen,2,CANTOR (analysis of comparable disticts),23.6217,.8358126,.0962403,.0962403,40000,00:19:54  3 Nov 2020
2020,House,11/3/20,WA-8,Kim Schrier,Jesse Jensen,1,Polls adjusted for house effects & other factors,,0,0,0,40000,00:19:54  3 Nov 2020
