cycle,branch,forecastdate,district,candidateA,candidateB,displaystep,description,margin,lite_weight,classic_weight,deluxe_weight,simulations,timestamp
2020,Senate,11/3/20,WY-S2,Merav Ben-David,Cynthia Lummis,4,Expert ratings adjusted for national environment,-36.65843,0,0,1.239421,40000,00:19:54  3 Nov 2020
2020,Senate,11/3/20,WY-S2,Merav Ben-David,Cynthia Lummis,3,Fundamentals (non-polling factors),-39.67312,0,1.284435,1.284435,40000,00:19:54  3 Nov 2020
2020,Senate,11/3/20,WY-S2,Merav Ben-David,Cynthia Lummis,2,CANTOR (analysis of comparable disticts),-25.65992,.8358126,.1545999,.1545999,40000,00:19:54  3 Nov 2020
2020,Senate,11/3/20,WY-S2,Merav Ben-David,Cynthia Lummis,1,Polls adjusted for house effects & other factors,-30.10048,1.045976,1.045976,1.045976,40000,00:19:54  3 Nov 2020
2020,Senate,11/3/20,WV-S2,Paula Jean Swearengin,Shelley Moore Capito,4,Expert ratings adjusted for national environment,-26.30063,0,0,1.121314,40000,00:19:54  3 Nov 2020
2020,Senate,11/3/20,WV-S2,Paula Jean Swearengin,Shelley Moore Capito,3,Fundamentals (non-polling factors),-25.58448,0,1.284435,1.284435,40000,00:19:54  3 Nov 2020
2020,Senate,11/3/20,WV-S2,Paula Jean Swearengin,Shelley Moore Capito,2,CANTOR (analysis of comparable disticts),-22.37755,.8358126,.1545999,.1545999,40000,00:19:54  3 Nov 2020
2020,Senate,11/3/20,WV-S2,Paula Jean Swearengin,Shelley Moore Capito,1,Polls adjusted for house effects & other factors,-19.776,.8091737,.8091737,.8091737,40000,00:19:54  3 Nov 2020
2020,Senate,11/3/20,VA-S2,Mark Warner,Daniel Gade,4,Expert ratings adjusted for national environment,20.47197,0,0,4.994026,40000,00:19:54  3 Nov 2020
2020,Senate,11/3/20,VA-S2,Mark Warner,Daniel Gade,3,Fundamentals (non-polling factors),22.24273,0,1.284435,1.284435,40000,00:19:54  3 Nov 2020
2020,Senate,11/3/20,VA-S2,Mark Warner,Daniel Gade,2,CANTOR (analysis of comparable disticts),18.20195,0,.1545999,.1545999,40000,00:19:54  3 Nov 2020
2020,Senate,11/3/20,VA-S2,Mark Warner,Daniel Gade,1,Polls adjusted for house effects & other factors,16.15473,8.57387,8.57387,8.57387,40000,00:19:54  3 Nov 2020
2020,Senate,11/3/20,TX-S2,M.J. Hegar,John Cornyn,4,Expert ratings adjusted for national environment,-8.550311,0,0,10.56945,40000,00:19:54  3 Nov 2020
2020,Senate,11/3/20,TX-S2,M.J. Hegar,John Cornyn,3,Fundamentals (non-polling factors),-8.084554,0,1.284435,1.284435,40000,00:19:54  3 Nov 2020
2020,Senate,11/3/20,TX-S2,M.J. Hegar,John Cornyn,2,CANTOR (analysis of comparable disticts),-8.878713,0,.1545999,.1545999,40000,00:19:54  3 Nov 2020
2020,Senate,11/3/20,TX-S2,M.J. Hegar,John Cornyn,1,Polls adjusted for house effects & other factors,-6.557789,19.75247,19.75247,19.75247,40000,00:19:54  3 Nov 2020
2020,Senate,11/3/20,TN-S2,Marquita Bradshaw,Bill Hagerty,4,Expert ratings adjusted for national environment,-25.34015,0,0,1.715886,40000,00:19:54  3 Nov 2020
2020,Senate,11/3/20,TN-S2,Marquita Bradshaw,Bill Hagerty,3,Fundamentals (non-polling factors),-23.96575,0,1.284435,1.284435,40000,00:19:54  3 Nov 2020
2020,Senate,11/3/20,TN-S2,Marquita Bradshaw,Bill Hagerty,2,CANTOR (analysis of comparable disticts),-12.10985,0,.1545999,.1545999,40000,00:19:54  3 Nov 2020
2020,Senate,11/3/20,TN-S2,Marquita Bradshaw,Bill Hagerty,1,Polls adjusted for house effects & other factors,-21.05035,2.001276,2.001276,2.001276,40000,00:19:54  3 Nov 2020
2020,Senate,11/3/20,SD-S2,Dan Ahlers,Mike Rounds,4,Expert ratings adjusted for national environment,-25.93556,0,0,1.050581,40000,00:19:54  3 Nov 2020
2020,Senate,11/3/20,SD-S2,Dan Ahlers,Mike Rounds,3,Fundamentals (non-polling factors),-26.07037,0,1.284435,1.284435,40000,00:19:54  3 Nov 2020
2020,Senate,11/3/20,SD-S2,Dan Ahlers,Mike Rounds,2,CANTOR (analysis of comparable disticts),-19.30634,.8358126,.1545999,.1545999,40000,00:19:54  3 Nov 2020
2020,Senate,11/3/20,SD-S2,Dan Ahlers,Mike Rounds,1,Polls adjusted for house effects & other factors,-17.08496,.6673567,.6673567,.6673567,40000,00:19:54  3 Nov 2020
2020,Senate,11/3/20,SC-S2,Jaime Harrison,Lindsey Graham,4,Expert ratings adjusted for national environment,-5.531604,0,0,5.118056,40000,00:19:54  3 Nov 2020
2020,Senate,11/3/20,SC-S2,Jaime Harrison,Lindsey Graham,3,Fundamentals (non-polling factors),-7.373598,0,1.284435,1.284435,40000,00:19:54  3 Nov 2020
2020,Senate,11/3/20,SC-S2,Jaime Harrison,Lindsey Graham,2,CANTOR (analysis of comparable disticts),-8.493611,0,.1545999,.1545999,40000,00:19:54  3 Nov 2020
2020,Senate,11/3/20,SC-S2,Jaime Harrison,Lindsey Graham,1,Polls adjusted for house effects & other factors,-4.435024,8.822547,8.822547,8.822547,40000,00:19:54  3 Nov 2020
2020,Senate,11/3/20,RI-S2,Jack Reed,Allen Waters,4,Expert ratings adjusted for national environment,46.81051,0,0,.7177314,40000,00:19:54  3 Nov 2020
2020,Senate,11/3/20,RI-S2,Jack Reed,Allen Waters,3,Fundamentals (non-polling factors),48.75648,0,1.284435,1.284435,40000,00:19:54  3 Nov 2020
2020,Senate,11/3/20,RI-S2,Jack Reed,Allen Waters,2,CANTOR (analysis of comparable disticts),47.69851,.8358126,.1545999,.1545999,40000,00:19:54  3 Nov 2020
2020,Senate,11/3/20,RI-S2,Jack Reed,Allen Waters,1,Polls adjusted for house effects & other factors,,0,0,0,40000,00:19:54  3 Nov 2020
2020,Senate,11/3/20,OR-S2,Jeff Merkley,Jo Rae Perkins,4,Expert ratings adjusted for national environment,23.696,0,0,1.305978,40000,00:19:54  3 Nov 2020
2020,Senate,11/3/20,OR-S2,Jeff Merkley,Jo Rae Perkins,3,Fundamentals (non-polling factors),30.6821,0,1.284435,1.284435,40000,00:19:54  3 Nov 2020
2020,Senate,11/3/20,OR-S2,Jeff Merkley,Jo Rae Perkins,2,CANTOR (analysis of comparable disticts),17.1687,.8205799,.1545999,.1545999,40000,00:19:54  3 Nov 2020
2020,Senate,11/3/20,OR-S2,Jeff Merkley,Jo Rae Perkins,1,Polls adjusted for house effects & other factors,19.19688,1.17942,1.17942,1.17942,40000,00:19:54  3 Nov 2020
2020,Senate,11/3/20,OK-S2,Abby Broyles,Jim Inhofe,4,Expert ratings adjusted for national environment,-24.93306,0,0,2.191319,40000,00:19:54  3 Nov 2020
2020,Senate,11/3/20,OK-S2,Abby Broyles,Jim Inhofe,3,Fundamentals (non-polling factors),-27.08603,0,1.284435,1.284435,40000,00:19:54  3 Nov 2020
2020,Senate,11/3/20,OK-S2,Abby Broyles,Jim Inhofe,2,CANTOR (analysis of comparable disticts),-22.47666,0,.1545999,.1545999,40000,00:19:54  3 Nov 2020
