battleground date,days,Florida,Pennsylvania,Michigan,Ohio,North Carolina,Arizona,Wisconsin,Texas,Georgia,Iowa,South Carolina,Nevada,Minnesota,New Hampshire,Alabama,Alaska,California,Colorado,Connecticut,District Of Columbia,Kentucky,Maine,Massachusetts,Missouri,Montana,New Jersey,New York,Tennessee,Utah,Virginia,Washington,Arkansas,Delaware,Hawaii,Idaho,Illinois,Indiana,Kansas,Louisiana,Maryland,Mississippi,Nebraska,New Mexico,North Dakota,Oklahoma,Oregon,Rhode Island,South Dakota,Vermont,West Virginia,Wyoming
2020-11-03,0 days,66.7,73.8,79.8,41.8,62.7,62.8,78.9,40.3,57.0,41.5,16.5,82.4,86.1,87.1,2.0,11.2,100.0,95.0,99.9,100.0,0.1,94.7,100.0,10.4,11.2,99.9,100.0,0.6,2.6,98.3,100.0,0.7,99.9,100.0,0.0,99.7,4.2,11.8,3.7,100.0,1.4,4.2,95.3,0.0,0.1,99.9,100.0,0.6,100.0,0.0,0.0
2020-11-02,1 days,65.8,72.4,78.3,40.8,61.6,63.0,78.0,39.3,56.1,40.3,15.7,82.1,84.9,85.9,1.0,10.2,100.0,95.0,99.9,100.0,0.1,95.2,100.0,9.4,10.2,99.9,100.0,0.6,2.6,97.1,100.0,0.7,99.9,100.0,0.0,99.7,4.2,10.6,2.7,100.0,1.4,3.0,95.3,0.0,0.1,99.9,100.0,0.6,100.0,0.0,0.0
2020-11-01,2 days,65.0,71.8,77.3,39.9,60.4,62.0,77.1,38.3,55.2,39.1,14.8,81.1,83.7,84.8,0.1,9.1,100.0,95.0,99.9,100.0,0.1,95.7,100.0,8.4,9.2,99.9,100.0,0.6,2.6,95.9,100.0,0.7,99.9,100.0,0.0,99.7,4.2,9.4,1.7,100.0,1.4,1.8,95.3,0.0,0.1,99.9,100.0,0.6,100.0,0.0,0.0
2020-10-31,3 days,64.3,72.1,76.9,40.4,60.8,62.4,76.3,39.4,55.1,40.6,16.2,80.2,82.7,84.4,0.1,9.7,100.0,95.7,100.0,100.0,0.2,96.0,100.0,9.4,10.2,100.0,100.0,0.8,3.3,95.9,100.0,0.7,99.9,100.0,0.0,99.6,4.6,9.8,1.8,100.0,1.3,2.5,94.6,0.0,0.1,99.9,100.0,0.9,100.0,0.0,0.0
2020-10-30,4 days,64.6,72.5,77.6,40.3,61.4,62.9,76.4,40.1,54.9,41.9,17.4,80.6,82.7,84.2,0.1,10.7,100.0,96.1,100.0,100.0,0.2,96.3,100.0,9.9,10.2,100.0,100.0,0.6,3.6,95.9,100.0,0.6,99.9,100.0,0.0,99.7,4.6,9.3,1.7,100.0,1.3,2.6,94.1,0.0,0.1,99.9,100.0,1.0,100.0,0.0,0.0
2020-10-29,5 days,65.3,73.1,78.3,40.4,62.3,63.6,77.1,40.7,54.7,43.1,18.0,81.4,83.1,84.8,0.1,11.8,100.0,96.2,100.0,100.0,0.2,96.6,100.0,10.0,10.2,100.0,100.0,0.6,3.8,95.8,100.0,0.6,100.0,100.0,0.0,99.8,4.6,8.7,1.6,100.0,1.4,2.5,93.8,0.0,0.1,100.0,100.0,0.9,100.0,0.0,0.0
2020-10-28,6 days,66.2,73.7,78.2,40.6,63.1,64.3,77.7,41.3,54.5,44.0,18.7,82.0,83.6,85.9,0.1,12.5,100.0,95.9,100.0,100.0,0.2,96.7,100.0,9.8,9.9,100.0,100.0,0.5,3.6,95.8,100.0,0.7,100.0,100.0,0.0,99.9,4.6,8.5,1.5,100.0,1.5,2.5,93.7,0.0,0.1,99.9,100.0,0.9,100.0,0.0,0.0
2020-10-27,7 days,66.8,74.3,77.8,40.7,64.1,64.7,77.9,41.8,54.4,44.6,19.4,82.2,83.8,87.0,0.1,12.9,100.0,95.5,100.0,100.0,0.1,96.6,100.0,9.3,9.5,99.9,100.0,0.4,3.1,95.8,100.0,0.7,100.0,100.0,0.0,99.9,4.6,7.8,1.4,100.0,1.5,2.4,94.2,0.0,0.1,99.9,100.0,0.7,100.0,0.0,0.0
2020-10-26,8 days,67.4,74.9,77.4,41.1,65.0,64.9,77.9,42.3,54.5,44.8,20.1,82.3,84.2,88.2,0.1,13.2,100.0,95.1,100.0,100.0,0.1,96.5,100.0,9.2,9.3,99.9,100.0,0.3,2.7,95.9,100.0,0.7,100.0,100.0,0.0,100.0,4.6,6.9,1.4,100.0,1.6,2.5,94.7,0.0,0.1,99.9,100.0,0.7,100.0,0.0,0.0
2020-10-25,9 days,67.9,75.6,77.5,41.7,65.7,64.9,77.9,43.0,55.0,44.8,20.5,82.5,84.7,88.9,0.1,13.6,100.0,95.6,100.0,100.0,0.1,96.3,100.0,9.4,9.6,99.9,100.0,0.3,2.4,96.0,100.0,0.7,100.0,100.0,0.0,100.0,4.7,6.1,1.3,100.0,1.7,2.5,95.3,0.0,0.0,100.0,100.0,0.6,100.0,0.0,0.0
