,u1,u2,upper,Lower,state,pred
0,0,-19.6,0,0,alabama,0
1,1,-7.0,5,0,alaska,2
2,82,3.0,94,62,arizona,80
3,0,-24.5,0,0,arkansas,0
4,100,28.85,100,100,california,100
5,100,12.0,100,100,colorado,100
6,100,25.0,100,100,connecticut,100
7,100,86.8,100,100,District of Columbia,100
8,100,21.0,100,100,delaware,100
9,83,3.0,94,62,florida,81
10,64,1.5,81,45,georgia,64
11,100,34.0,100,100,hawaii,100
12,0,-21.59,0,0,idaho,0
13,100,16.45,100,100,illinois,100
14,0,-10.7,0,0,indiana,0
15,37,-1.0,63,16,iowa,38
16,0,-14.0,1,0,kansas,0
17,0,-13.5,0,0,kentucky,0
18,0,-22.9,0,0,louisiana,0
19,100,13.0,100,100,maine,100
20,100,33.0,100,100,maryland,100
21,100,35.0,100,100,massachusetts,100
22,96,7.5,99,90,michigan,95
23,99,9.3,100,96,minnesota,98
24,2,-14.0,3,1,mississippi,2
25,0,-9.7,1,0,missouri,0
26,3,-5.5,12,1,montana,5
27,0,-15.55,0,0,nebraska,0
28,93,6.0,97,83,nevada,91
29,94,8.0,98,88,new hampshire,93
30,100,19.45,100,100,new jersey,100
31,100,13.0,100,100,new mexico,100
32,100,28.0,100,100,new york,100
33,74,2.0,91,50,north carolina,72
34,0,-17.0,0,0,north dakota,0
35,18,-2.75,40,6,ohio,21
36,0,-22.0,0,0,oklahoma,0
37,100,20.0,100,100,oregon,100
38,91,5.0,97,79,pennsylvania,89
39,100,26.0,100,100,rhode island,100
40,1,-7.52,6,0,south carolina,2
41,4,-15.0,6,2,south dakota,4
42,4,-9.0,8,2,tennessee,4
43,18,-2.7,41,6,texas,21
44,0,-10.0,0,0,utah,0
45,99,30.0,100,99,vermont,99
46,100,12.0,100,100,virginia,100
47,100,23.0,100,100,washington,100
48,4,-20.1,6,3,west virginia,5
49,96,8.5,98,91,wisconsin,95
50,0,-30.5,0,0,wyoming,0
51,100,23.0,100,100,M1,100
52,80,3.0,92,61,M2,78
53,0,-21.55,0,0,N1,0
54,89,4.45,96,75,N2,87
55,0,-41.55,0,0,N3,0
