date,state,pred
2020-11-05T14:10:15Z,Alaska,0.03
2020-11-05T14:10:15Z,Arizona,0.75
2020-11-05T14:10:15Z,California,0.0
2020-11-05T14:10:15Z,Colorado,0.0
2020-11-05T14:10:15Z,Florida,0.01
2020-11-05T14:10:15Z,Georgia,0.68
2020-11-05T14:10:15Z,Illinois,0.0
2020-11-05T14:10:15Z,Indiana,0.01
2020-11-05T14:10:15Z,Iowa,0.01
2020-11-05T14:10:15Z,Kansas,0.01
2020-11-05T14:10:15Z,Kentucky,0.01
2020-11-05T14:10:15Z,ME-02,0.01
2020-11-05T14:10:15Z,Maine,0.0
2020-11-05T14:10:15Z,Massachusetts,0.0
2020-11-05T14:10:15Z,Michigan,0.94
2020-11-05T14:10:15Z,Minnesota,0.99
2020-11-05T14:10:15Z,Missouri,0.01
2020-11-05T14:10:15Z,Montana,0.01
2020-11-05T14:10:15Z,NE-02,0.0
2020-11-05T14:10:15Z,Nebraska,0.01
2020-11-05T14:10:15Z,Nevada,0.85
2020-11-05T14:10:15Z,New Hampshire,0.0
2020-11-05T14:10:15Z,New Jersey,0.0
2020-11-05T14:10:15Z,New Mexico,0.0
2020-11-05T14:10:15Z,New York,0.0
2020-11-05T14:10:15Z,North Carolina,0.09
2020-11-05T14:10:15Z,Ohio,0.01
2020-11-05T14:10:15Z,Oregon,0.0
2020-11-05T14:10:15Z,Pennsylvania,0.82
2020-11-05T14:10:15Z,South Carolina,0.01
2020-11-05T14:10:15Z,Tennessee,0.01
2020-11-05T14:10:15Z,Texas,0.01
2020-11-05T14:10:15Z,Utah,0.01
2020-11-05T14:10:15Z,Virginia,0.99
2020-11-05T14:10:15Z,Washington,0.0
2020-11-05T14:10:15Z,Wisconsin,0.94
2020-11-05T13:40:44Z,Alaska,0.03
2020-11-05T13:40:44Z,Arizona,0.76
2020-11-05T13:40:44Z,California,0.0
2020-11-05T13:40:44Z,Colorado,0.99
2020-11-05T13:40:44Z,Connecticut,0.0
2020-11-05T13:40:44Z,Florida,0.01
2020-11-05T13:40:44Z,Georgia,0.69
2020-11-05T13:40:44Z,Illinois,0.0
2020-11-05T13:40:44Z,Indiana,0.01
2020-11-05T13:40:44Z,Iowa,0.01
2020-11-05T13:40:44Z,Kansas,0.01
2020-11-05T13:40:44Z,Kentucky,0.01
2020-11-05T13:40:44Z,Louisiana,0.01
2020-11-05T13:40:44Z,ME-01,0.99
2020-11-05T13:40:44Z,ME-02,0.01
2020-11-05T13:40:44Z,Maine,0.99
2020-11-05T13:40:44Z,Maryland,0.0
2020-11-05T13:40:44Z,Massachusetts,0.0
2020-11-05T13:40:44Z,Michigan,0.93
2020-11-05T13:40:44Z,Minnesota,0.99
2020-11-05T13:40:44Z,Missouri,0.01
2020-11-05T13:40:44Z,Montana,0.01
2020-11-05T13:40:44Z,NE-01,0.02
2020-11-05T13:40:44Z,NE-02,0.0
2020-11-05T13:40:44Z,NE-03,0.01
2020-11-05T13:40:44Z,Nebraska,0.01
2020-11-05T13:40:44Z,Nevada,0.86
2020-11-05T13:40:44Z,New Hampshire,0.99
2020-11-05T13:40:44Z,New Jersey,0.0
2020-11-05T13:40:44Z,New Mexico,0.0
2020-11-05T13:40:44Z,New York,0.0
2020-11-05T13:40:44Z,North Carolina,0.1
2020-11-05T13:40:44Z,North Dakota,0.01
2020-11-05T13:40:44Z,Ohio,0.01
2020-11-05T13:40:44Z,Oklahoma,0.01
2020-11-05T13:40:44Z,Oregon,0.0
2020-11-05T13:40:44Z,Pennsylvania,0.8
2020-11-05T13:40:44Z,South Carolina,0.01
2020-11-05T13:40:44Z,South Dakota,0.01
2020-11-05T13:40:44Z,Tennessee,0.01
2020-11-05T13:40:44Z,Texas,0.01
2020-11-05T13:40:44Z,Utah,0.01
2020-11-05T13:40:44Z,Virginia,0.99
2020-11-05T13:40:44Z,Washington,0.0
2020-11-05T13:40:44Z,West Virginia,0.01
2020-11-05T13:40:44Z,Wisconsin,0.94
2020-11-04T15:06:37Z,Alabama,0.01
2020-11-04T15:06:37Z,Alaska,0.01
2020-11-04T15:06:37Z,Arizona,0.95
2020-11-04T15:06:37Z,Arkansas,0.01
2020-11-04T15:06:37Z,California,0.0
2020-11-04T15:06:37Z,Colorado,0.99
2020-11-04T15:06:37Z,Connecticut,0.0
2020-11-04T15:06:37Z,DC,0.0
2020-11-04T15:06:37Z,Delaware,0.0
2020-11-04T15:06:37Z,Florida,0.02
2020-11-04T15:06:37Z,Georgia,0.61
2020-11-04T15:06:37Z,Hawaii,0.0
2020-11-04T15:06:37Z,Idaho,0.01
2020-11-04T15:06:37Z,Illinois,0.0
2020-11-04T15:06:37Z,Indiana,0.01
2020-11-04T15:06:37Z,Iowa,0.02
2020-11-04T15:06:37Z,Kansas,0.01
2020-11-04T15:06:37Z,Kentucky,0.01
2020-11-04T15:06:37Z,Louisiana,0.01
2020-11-04T15:06:37Z,ME-01,0.99
2020-11-04T15:06:37Z,ME-02,0.23
2020-11-04T15:06:37Z,Maine,0.0
2020-11-04T15:06:37Z,Maryland,0.0
2020-11-04T15:06:37Z,Massachusetts,0.0
2020-11-04T15:06:37Z,Michigan,0.9
2020-11-04T15:06:37Z,Minnesota,0.99
2020-11-04T15:06:37Z,Mississippi,0.02
2020-11-04T15:06:37Z,Missouri,0.01
2020-11-04T15:06:37Z,Montana,0.01
2020-11-04T15:06:37Z,NE-01,0.02
2020-11-04T15:06:37Z,NE-02,0.0
2020-11-04T15:06:37Z,NE-03,0.01
2020-11-04T15:06:37Z,Nebraska,0.01
2020-11-04T15:06:37Z,Nevada,0.91
2020-11-04T15:06:37Z,New Hampshire,0.0
2020-11-04T15:06:37Z,New Jersey,0.99
2020-11-04T15:06:37Z,New Mexico,0.0
2020-11-04T15:06:37Z,New York,0.99
2020-11-04T15:06:37Z,North Carolina,0.17
2020-11-04T15:06:37Z,North Dakota,0.01
2020-11-04T15:06:37Z,Ohio,0.02
2020-11-04T15:06:37Z,Oklahoma,0.01
2020-11-04T15:06:37Z,Oregon,0.0
2020-11-04T15:06:37Z,Pennsylvania,0.7
2020-11-04T15:06:37Z,Rhode Island,0.0
2020-11-04T15:06:37Z,South Carolina,0.01
2020-11-04T15:06:37Z,South Dakota,0.01
2020-11-04T15:06:37Z,Tennessee,0.01
2020-11-04T15:06:37Z,Texas,0.03
2020-11-04T15:06:37Z,Utah,0.01
2020-11-04T15:06:37Z,Vermont,0.0
2020-11-04T15:06:37Z,Virginia,0.0
2020-11-04T15:06:37Z,Washington,0.0
2020-11-04T15:06:37Z,West Virginia,0.01
2020-11-04T15:06:37Z,Wisconsin,0.95
2020-11-04T15:06:37Z,Wyoming,0.01
2020-11-04T13:40:43Z,Alabama,0.01
2020-11-04T13:40:43Z,Alaska,0.02
2020-11-04T13:40:43Z,Arizona,0.97
2020-11-04T13:40:43Z,Arkansas,0.01
2020-11-04T13:40:43Z,California,0.99
2020-11-04T13:40:43Z,Colorado,0.0
2020-11-04T13:40:43Z,Connecticut,0.0
2020-11-04T13:40:43Z,DC,0.0
2020-11-04T13:40:43Z,Delaware,0.0
2020-11-04T13:40:43Z,Florida,0.02
2020-11-04T13:40:43Z,Georgia,0.55
2020-11-04T13:40:43Z,Hawaii,0.0
2020-11-04T13:40:43Z,Idaho,0.01
2020-11-04T13:40:43Z,Illinois,0.0
2020-11-04T13:40:43Z,Indiana,0.01
2020-11-04T13:40:43Z,Iowa,0.01
2020-11-04T13:40:43Z,Kansas,0.01
2020-11-04T13:40:43Z,Kentucky,0.01
2020-11-04T13:40:43Z,Louisiana,0.01
2020-11-04T13:40:43Z,ME-01,0.99
2020-11-04T13:40:43Z,ME-02,0.2
2020-11-04T13:40:43Z,Maine,0.0
2020-11-04T13:40:43Z,Maryland,0.0
2020-11-04T13:40:43Z,Massachusetts,0.0
2020-11-04T13:40:43Z,Michigan,0.89
2020-11-04T13:40:43Z,Minnesota,0.99
2020-11-04T13:40:43Z,Mississippi,0.01
2020-11-04T13:40:43Z,Missouri,0.01
2020-11-04T13:40:43Z,Montana,0.01
2020-11-04T13:40:43Z,NE-01,0.02
2020-11-04T13:40:43Z,NE-02,0.0
2020-11-04T13:40:43Z,NE-03,0.01
2020-11-04T13:40:43Z,Nebraska,0.01
2020-11-04T13:40:43Z,Nevada,0.9
2020-11-04T13:40:43Z,New Hampshire,0.0
2020-11-04T13:40:43Z,New Jersey,0.0
2020-11-04T13:40:43Z,New Mexico,0.0
2020-11-04T13:40:43Z,New York,0.99
2020-11-04T13:40:43Z,North Carolina,0.14
2020-11-04T13:40:43Z,North Dakota,0.01
2020-11-04T13:40:43Z,Ohio,0.03
2020-11-04T13:40:43Z,Oklahoma,0.01
2020-11-04T13:40:43Z,Oregon,0.0
2020-11-04T13:40:43Z,Pennsylvania,0.64
2020-11-04T13:40:43Z,Rhode Island,0.0
2020-11-04T13:40:43Z,South Carolina,0.01
2020-11-04T13:40:43Z,South Dakota,0.01
2020-11-04T13:40:43Z,Tennessee,0.01
2020-11-04T13:40:43Z,Texas,0.02
2020-11-04T13:40:43Z,Utah,0.01
2020-11-04T13:40:43Z,Vermont,0.0
2020-11-04T13:40:43Z,Virginia,0.0
2020-11-04T13:40:43Z,Washington,0.0
2020-11-04T13:40:43Z,West Virginia,0.01
2020-11-04T13:40:43Z,Wisconsin,0.92
2020-11-04T13:40:43Z,Wyoming,0.01
2020-11-03T13:40:44Z,Alabama,0.04
2020-11-03T13:40:44Z,Alaska,0.1
2020-11-03T13:40:44Z,Arizona,0.54
2020-11-03T13:40:44Z,Arkansas,0.03
2020-11-03T13:40:44Z,California,0.95
2020-11-03T13:40:44Z,Colorado,0.91
2020-11-03T13:40:44Z,Connecticut,0.95
