,year,state,party,candidate_name,poll_date,weeks_left,days_left,before_convention,avg_poll
0,1972,CA,democrat,George S. McGovern,1972-08-06,13,93,False,41.7005108695652
1,1972,CA,democrat,George S. McGovern,1972-09-21,7,47,False,39.9029922222222
2,1972,CA,democrat,George S. McGovern,1972-09-30,5,38,False,38.924634000000005
3,1972,CA,democrat,George S. McGovern,1972-10-05,5,33,False,39.187923333333295
4,1972,CA,democrat,George S. McGovern,1972-10-11,4,27,False,37.7339454545455
5,1972,CA,democrat,George S. McGovern,1972-10-22,2,16,False,38.431255833333296
6,1972,CA,democrat,George S. McGovern,1972-11-03,1,4,False,35.4154671428571
7,1972,CA,republican,Richard M. Nixon,1972-08-06,13,93,True,50.3284391304348
8,1972,CA,republican,Richard M. Nixon,1972-09-21,7,47,False,47.421664444444396
9,1972,CA,republican,Richard M. Nixon,1972-09-30,5,38,False,45.919916
10,1972,CA,republican,Richard M. Nixon,1972-10-05,5,33,False,47.9072566666667
11,1972,CA,republican,Richard M. Nixon,1972-10-11,4,27,False,48.1765836363636
12,1972,CA,republican,Richard M. Nixon,1972-10-22,2,16,False,50.729021666666696
13,1972,CA,republican,Richard M. Nixon,1972-11-03,1,4,False,47.3147528571429
14,1972,CO,democrat,George S. McGovern,1972-11-04,0,3,False,27.3064
15,1972,CO,republican,Richard M. Nixon,1972-11-04,0,3,False,63.63466
16,1972,CT,democrat,George S. McGovern,1972-09-30,5,38,False,22.99332
17,1972,CT,democrat,George S. McGovern,1972-10-10,4,28,False,26.0618435714286
18,1972,CT,democrat,George S. McGovern,1972-10-24,2,14,False,28.198898235294102
19,1972,CT,republican,Richard M. Nixon,1972-09-30,5,38,False,59.004948999999996
20,1972,CT,republican,Richard M. Nixon,1972-10-10,4,28,False,59.788615
21,1972,CT,republican,Richard M. Nixon,1972-10-24,2,14,False,57.3041870588235
22,1972,IL,democrat,George S. McGovern,1972-09-30,5,38,False,24.291888
23,1972,IL,democrat,George S. McGovern,1972-10-05,5,33,False,26.66863
24,1972,IL,democrat,George S. McGovern,1972-10-10,4,28,False,25.836318333333303
25,1972,IL,democrat,George S. McGovern,1972-10-22,2,16,False,30.1812936842105
26,1972,IL,republican,Richard M. Nixon,1972-09-30,5,38,False,60.647130000000004
27,1972,IL,republican,Richard M. Nixon,1972-10-05,5,33,False,58.328931999999995
28,1972,IL,republican,Richard M. Nixon,1972-10-10,4,28,False,59.18434
29,1972,IL,republican,Richard M. Nixon,1972-10-22,2,16,False,60.2001784210526
30,1972,KS,democrat,George S. McGovern,1972-07-22,15,108,False,21.2731216504854
31,1972,KS,democrat,George S. McGovern,1972-11-02,1,5,False,22.46682375
32,1972,KS,republican,Richard M. Nixon,1972-07-22,15,108,True,59.6562223300971
33,1972,KS,republican,Richard M. Nixon,1972-11-02,1,5,False,66.69873249999999
