state,result,demshare,gopshare,ev
washington,1,59.5,38,12
oregon,1,56.5,40.3,7
california,1,65.1,33,55
nevada,1,49.7,48.1,6
arizona,1,50,48.6,11
utah,0,37.5,58.5,6
idaho,0,33.1,63.8,4
montana,0,40.4,56.7,3
wyoming,0,26.6,70,3
colorado,1,55.2,42.2,9
new mexico,1,54.2,43.6,5
north dakota,0,31.7,65,3
south dakota,0,35.6,61.8,3
nebraska,0,39.1,58.7,5
kansas,0,41.1,56.7,6
oklahoma,0,32.3,65.4,7
texas,0,46.4,52.2,38
minnesota,1,52.5,45.4,10
iowa,0,44.9,53.1,6
missouri,0,41.3,56.9,10
arkansas,0,34.6,62.6,6
louisiana,0,39.8,58.5,8
wisconsin,1,49.4,48.8,10
michigan,1,50.5,47.9,16
illinois,1,43,55,20
kentucky,0,35.8,62.6,8
tennessee,0,37.4,60.7,11
mississippi,0,38.7,59.8,6
ohio,0,45.2,53.3,18
alabama,0,36.3,62.3,9
florida,0,47.8,51.2,29
georgia,1,49.4,49.4,16
south carolina,0,43.4,55.1,9
north carolina,0,48.6,50,15
west virginia,0,29.6,68.6,5
virginia,1,44.4,54,13
maryland,1,63.1,35.1,10
pennsylvania,1,49.5,49.3,20
delaware,1,58.8,39.8,3
new jersey,1,59,39.6,14
new york,1,58.3,40.4,29
vermont,1,64.9,31.7,3
connecticut,1,58.7,39.7,7
rhode island,1,59.4,39.2,4
massachusetts,1,65.3,32.5,11
new hampshire,1,52.6,45.5,4
maine,1,53.6,43.4,4
alaska,0,33,62.9,3
hawaii,1,63.7,34.3,4
indiana,0,40.9,57,11
