"","state","result","demshare","gopshare","ev","dem","gop","diff"
"1","washington",1,59.5,38,12,0.61025641025641,0.38974358974359,0.220512820512821
"2","oregon",1,56.5,40.3,7,0.583677685950413,0.416322314049587,0.167355371900826
"3","california",1,65.1,33,55,0.663608562691131,0.336391437308869,0.327217125382263
"4","nevada",1,49.7,48.1,6,0.508179959100204,0.491820040899795,0.0163599182004089
"5","arizona",1,50,48.6,11,0.50709939148073,0.49290060851927,0.0141987829614604
"6","utah",0,37.5,58.5,6,0.390625,0.609375,-0.21875
"7","idaho",0,33.1,63.8,4,0.341589267285862,0.658410732714138,-0.316821465428276
"8","montana",0,40.4,56.7,3,0.416065911431514,0.583934088568486,-0.167868177136972
"9","wyoming",0,26.6,70,3,0.27536231884058,0.72463768115942,-0.449275362318841
"10","colorado",1,55.2,42.2,9,0.566735112936345,0.433264887063655,0.13347022587269
"11","new mexico",1,54.2,43.6,5,0.554192229038855,0.445807770961145,0.10838445807771
"12","north dakota",0,31.7,65,3,0.327817993795243,0.672182006204757,-0.344364012409514
"13","south dakota",0,35.6,61.8,3,0.365503080082136,0.634496919917864,-0.268993839835729
"14","nebraska",0,39.1,58.7,5,0.399795501022495,0.600204498977505,-0.20040899795501
"15","kansas",0,41.1,56.7,6,0.420245398773006,0.579754601226994,-0.159509202453988
"16","oklahoma",0,32.3,65.4,7,0.330603889457523,0.669396110542477,-0.338792221084954
"17","texas",0,46.4,52.2,38,0.470588235294118,0.529411764705882,-0.0588235294117647
"18","minnesota",1,52.5,45.4,10,0.536261491317671,0.463738508682329,0.0725229826353422
"19","iowa",0,44.9,53.1,6,0.458163265306122,0.541836734693878,-0.0836734693877552
"20","missouri",0,41.3,56.9,10,0.420570264765784,0.579429735234216,-0.158859470468432
"21","arkansas",0,34.6,62.6,6,0.3559670781893,0.6440329218107,-0.288065843621399
"22","louisiana",0,39.8,58.5,8,0.404883011190234,0.595116988809766,-0.190233977619532
"23","wisconsin",1,49.4,48.8,10,0.503054989816701,0.496945010183299,0.00610997963340121
"24","michigan",1,50.5,47.9,16,0.513211382113821,0.486788617886179,0.0264227642276423
"25","illinois",1,43,55,20,0.438775510204082,0.561224489795918,-0.122448979591837
"26","kentucky",0,35.8,62.6,8,0.363821138211382,0.636178861788618,-0.272357723577236
"27","tennessee",0,37.4,60.7,11,0.381243628950051,0.618756371049949,-0.237512742099898
"28","mississippi",0,38.7,59.8,6,0.392893401015228,0.607106598984772,-0.214213197969543
"29","ohio",0,45.2,53.3,18,0.458883248730964,0.541116751269035,-0.082233502538071
"30","alabama",0,36.3,62.3,9,0.36815415821501,0.63184584178499,-0.26369168356998
"31","florida",0,47.8,51.2,29,0.482828282828283,0.517171717171717,-0.0343434343434344
"32","georgia",1,49.4,49.4,16,0.5,0.5,0
"33","south carolina",0,43.4,55.1,9,0.440609137055838,0.559390862944162,-0.118781725888325
"34","north carolina",0,48.6,50,15,0.49290060851927,0.50709939148073,-0.0141987829614604
"35","west virginia",0,29.6,68.6,5,0.30142566191446,0.69857433808554,-0.397148676171079
"36","virginia",1,44.4,54,13,0.451219512195122,0.548780487804878,-0.0975609756097561
"37","maryland",1,63.1,35.1,10,0.642566191446029,0.357433808553971,0.285132382892057
"38","pennsylvania",1,49.5,49.3,20,0.501012145748988,0.498987854251012,0.00202429149797578
"39","delaware",1,58.8,39.8,3,0.596348884381339,0.403651115618661,0.192697768762677
"40","new jersey",1,59,39.6,14,0.598377281947262,0.401622718052738,0.196754563894523
"41","new york",1,58.3,40.4,29,0.590678824721378,0.409321175278622,0.181357649442756
"42","vermont",1,64.9,31.7,3,0.67184265010352,0.32815734989648,0.343685300207039
"43","connecticut",1,58.7,39.7,7,0.596544715447154,0.403455284552846,0.193089430894309
"44","rhode island",1,59.4,39.2,4,0.602434077079108,0.397565922920893,0.204868154158215
"45","massachusetts",1,65.3,32.5,11,0.667689161554192,0.332310838445808,0.335378323108384
"46","new hampshire",1,52.6,45.5,4,0.5361875637105,0.463812436289501,0.0723751274209991
"47","maine",1,53.6,43.4,4,0.552577319587629,0.447422680412371,0.105154639175258
"48","alaska",0,33,62.9,3,0.344108446298227,0.655891553701773,-0.311783107403545
"49","hawaii",1,63.7,34.3,4,0.65,0.35,0.3
"50","indiana",0,40.9,57,11,0.417773237997957,0.582226762002043,-0.164453524004086
