name,bets,date
Rishi Sunak,4.255,2022-07-07
Penny Mordaunt,5.16,2022-07-07
Ben Wallace,6.249999999999999,2022-07-07
Sajid Javid,7.826315789473684,2022-07-07
Liz Truss,7.45,2022-07-07
Jeremy Hunt,10.845,2022-07-07
Nadhim Zahawi,10.62,2022-07-07
Tom Tugendhat,13.06,2022-07-07
Robert Buckland,18.8,2022-07-07
Dominic Raab,12.41,2022-07-07
George Eustice,44.0,2022-07-07
Michael Gove,19.7,2022-07-07
Steve Baker,12.0,2022-07-07
Suella Braverman,52.333333333333336,2022-07-07
Priti Patel,40.5,2022-07-07
Seema Kennedy,66.0,2022-07-07
Kemi Badenoch,68.3076923076923,2022-07-07
Mark Harper,69.84615384615384,2022-07-07
Margot James,100.0,2022-07-07
Therese Coffey,100.0,2022-07-07
Suella Braverman,47.5,2022-07-07
Ben Houchen,99.0,2022-07-07
Eddie Hughes,100.0,2022-07-07
Nicola Richards,100.0,2022-07-07
Nickie Aiken,100.0,2022-07-07
Tom Pursglove,100.0,2022-07-07
Darren Henry,100.0,2022-07-07
Lee Anderson,100.0,2022-07-07
Theresa May,83.4,2022-07-07
Jesse Norman,126.8,2022-07-07
Lucy Frazer,72.8,2022-07-07
Oliver Dowden,79.92307692307692,2022-07-07
George Eustice,60.0,2022-07-07
Robert Halfon,100.0,2022-07-07
Greg Clark,100.0,2022-07-07
Brandon Lewis,67.25,2022-07-07
Greg Hands,100.0,2022-07-07
Victoria Atkins,96.0,2022-07-07
Nicky Morgan,100.0,2022-07-07
Simon Clarke,100.0,2022-07-07
Charles Walker,100.0,2022-07-07
Neil OBrien,100.0,2022-07-07
Dehenna Davison,100.0,2022-07-07
Mark Spencer,100.0,2022-07-07
Michelle Donelan,100.0,2022-07-07
Steve Barclay,64.28571428571429,2022-07-07
Graham Brady,85.25,2022-07-07
Tobias Ellwood,63.0,2022-07-07
Katherine Fletcher,125.0,2022-07-07
Julian Smith,97.85714285714286,2022-07-07
Philip Davies,150.0,2022-07-07
Claire Coutinho,110.0,2022-07-07
Alister Jack,150.0,2022-07-07
Robert Buckland,94.76666666666668,2022-07-07
Alun Cairns,150.0,2022-07-07
Kit Malthouse,110.0,2022-07-07
Anne-Marie Trevelyan,108.7,2022-07-07
Gillian Keegan,115.33333333333331,2022-07-07
Damian Hinds,104.54545454545456,2022-07-07
Johnny Mercer,83.4,2022-07-07
Kwasi Kwarteng,90.33333333333331,2022-07-07
Grant Shapps,100.93333333333334,2022-07-07
Andrea Jenkyns,150.0,2022-07-07
Helen Whately,200.0,2022-07-07
Alicia Kearns,200.0,2022-07-07
George Freeman,166.66666666666666,2022-07-07
Aaron Bell,200.0,2022-07-07
Nigel Adams,200.0,2022-07-07
Iain Duncan Smith,200.0,2022-07-07
Theresa Villiers,125.0,2022-07-07
Jacob Rees-Mogg,95.4,2022-07-07
Chris Grayling,200.0,2022-07-07
Bim Afolami,109.41176470588236,2022-07-07
Ben Bradley,135.71428571428572,2022-07-07
Esther McVey,109.9375,2022-07-07
David Davis,110.6875,2022-07-07
Alan Mak,200.0,2022-07-07
James Cleverly,104.52631578947368,2022-07-07
Andrea Leadsom,137.0,2022-07-07
Robert Jenrick,118.52941176470588,2022-07-07
Liam Fox,200.0,2022-07-07
Ruth Davidson,148.94444444444446,2022-07-07
Jesse Norman,256.5,2022-07-07
Matthew Hancock,171.1764705882353,2022-07-07
Alok Sharma,137.69230769230768,2022-07-07
Ranil Jayawardena,296.0,2022-07-07
Therese Coffey,297.0,2022-07-07
Phillip Hammond,239.66666666666663,2022-07-07
Nadine Dorries,241.1428571428572,2022-07-07
Aaron Bell,494.0,2022-07-07
Mark Francois,191.66666666666663,2022-07-07
David Cameron,300.0,2022-07-07
Rory Stewart,164.16666666666666,2022-07-07
George Osborne,362.5,2022-07-07
Nigel Farage,167.6,2022-07-07
Michael Fabricant,425.0,2022-07-07
Gavin Williamson,190.05263157894737,2022-07-07
Amber Rudd,687.5,2022-07-07
Geoffrey Cox,293.22222222222223,2022-07-07
Ben Wallace,2.823148148148148,2022-07-08
Rishi Sunak,4.347619047619048,2022-07-08
Penny Mordaunt,5.680952380952381,2022-07-08
Tom Tugendhat,6.652380952380954,2022-07-08
Liz Truss,9.04285714285714,2022-07-08
Sajid Javid,10.385,2022-07-08
Nadhim Zahawi,10.88,2022-07-08
Jeremy Hunt,12.804761904761904,2022-07-08
Steve Baker,22.38095238095238,2022-07-08
Suella Braverman,38.0,2022-07-08
Grant Shapps,61.53333333333333,2022-07-08
Kemi Badenoch,60.15384615384615,2022-07-08
Greg Clark,100.0,2022-07-08
Brandon Lewis,73.77777777777777,2022-07-08
Priti Patel,59.71428571428572,2022-07-08
Graham Brady,88.75,2022-07-08
Dominic Raab,45.85714285714285,2022-07-08
Theresa May,104.33333333333331,2022-07-08
Lucy Frazer,96.4,2022-07-08
Kit Malthouse,105.33333333333331,2022-07-08
Anne-Marie Trevelyan,137.1,2022-07-08
Gillian Keegan,115.33333333333331,2022-07-08
Steve Barclay,91.86666666666666,2022-07-08
Michael Gove,81.76190476190476,2022-07-08
Margot James,166.66666666666666,2022-07-08
Claire Coutinho,150.0,2022-07-08
Therese Coffey,140.0,2022-07-08
Andrea Jenkyns,166.66666666666666,2022-07-08
Helen Whately,200.0,2022-07-08
Alicia Kearns,200.0,2022-07-08
George Freeman,200.0,2022-07-08
Aaron Bell,200.0,2022-07-08
Nigel Adams,200.0,2022-07-08
Ben Houchen,149.0,2022-07-08
Eddie Hughes,200.0,2022-07-08
Nicola Richards,200.0,2022-07-08
Nickie Aiken,200.0,2022-07-08
Tom Pursglove,200.0,2022-07-08
Darren Henry,200.0,2022-07-08
Lee Anderson,200.0,2022-07-08
Jesse Norman,268.42857142857144,2022-07-08
Robert Buckland,210.57142857142856,2022-07-08
Victoria Atkins,134.16666666666666,2022-07-08
Theresa Villiers,138.33333333333334,2022-07-08
Julian Smith,131.25,2022-07-08
Simon Clarke,200.0,2022-07-08
Charles Walker,200.0,2022-07-08
Neil OBrien,166.66666666666666,2022-07-08
Dehenna Davison,200.0,2022-07-08
Mark Spencer,150.0,2022-07-08
Michelle Donelan,200.0,2022-07-08
Bim Afolami,113.82352941176472,2022-07-08
Damian Hinds,125.0,2022-07-08
Ben Bradley,146.875,2022-07-08
Esther McVey,119.94444444444444,2022-07-08
David Davis,110.94117647058825,2022-07-08
Alan Mak,200.0,2022-07-08
Liam Fox,191.66666666666663,2022-07-08
Chris Grayling,225.0,2022-07-08
Mark Harper,120.07142857142856,2022-07-08
Tobias Ellwood,103.58823529411764,2022-07-08
Oliver Dowden,134.07142857142858,2022-07-08
Kwasi Kwarteng,135.4375,2022-07-08
Aaron Bell,296.0,2022-07-08
Jacob Rees-Mogg,132.23809523809524,2022-07-08
Ruth Davidson,157.35,2022-07-08
Phillip Hammond,241.1428571428572,2022-07-08
Andrea Leadsom,199.31578947368425,2022-07-08
Robert Buckland,494.0,2022-07-08
Mark Francois,192.30769230769232,2022-07-08
David Cameron,335.7142857142857,2022-07-08
Rory Stewart,230.8333333333333,2022-07-08
George Osborne,425.0,2022-07-08
Nigel Farage,259.5,2022-07-08
Johnny Mercer,177.3,2022-07-08
Michael Fabricant,380.0,2022-07-08
James Cleverly,164.05263157894737,2022-07-08
George Eustice,979.0,2022-07-08
Therese Coffey,544.5,2022-07-08
Nadine Dorries,382.57142857142856,2022-07-08
Robert Jenrick,217.22222222222223,2022-07-08
Matthew Hancock,306.6875,2022-07-08
Alok Sharma,245.3571428571429,2022-07-08
Amber Rudd,687.5,2022-07-08
Geoffrey Cox,285.6842105263158,2022-07-08
Gavin Williamson,317.0,2022-07-08
Ranil Jayawardena,989.0,2022-07-08
Jesse Norman,989.0,2022-07-08
George Eustice,989.0,2022-07-08
Rishi Sunak,2.17521645021645,2022-07-09
Ben Wallace,4.172727272727272,2022-07-09
Penny Mordaunt,6.082608695652175,2022-07-09
Liz Truss,7.343478260869565,2022-07-09
Tom Tugendhat,8.304347826086957,2022-07-09
Jeremy Hunt,12.647826086956524,2022-07-09
Suella Braverman,18.8,2022-07-09
Nadhim Zahawi,16.34285714285714,2022-07-09
Sajid Javid,16.863636363636363,2022-07-09
Kemi Badenoch,29.705882352941178,2022-07-09
Damian Green,100.0,2022-07-09
Greg Clark,100.0,2022-07-09
Priti Patel,66.78260869565217,2022-07-09
Margot James,125.0,2022-07-09
Steve Barclay,98.94444444444444,2022-07-09
Lucy Frazer,95.5,2022-07-09
Kit Malthouse,117.85714285714286,2022-07-09
Gillian Keegan,115.33333333333331,2022-07-09
Grant Shapps,89.36842105263158,2022-07-09
Claire Coutinho,150.0,2022-07-09
Therese Coffey,140.0,2022-07-09
Andrea Jenkyns,166.66666666666666,2022-07-09
Helen Whately,200.0,2022-07-09
Alicia Kearns,200.0,2022-07-09
George Freeman,200.0,2022-07-09
Aaron Bell,200.0,2022-07-09
Nigel Adams,200.0,2022-07-09
Ben Houchen,149.0,2022-07-09
Eddie Hughes,200.0,2022-07-09
